id,source,text,date,message_id,chat_id
2895,human,Ji,2019-10-17 09:31:36.545115,33,1
1066,human,Y,2019-10-17 09:49:52.741115,2558,23
2139,human,me asustas jaja,2019-10-17 10:02:36.338115,5011,10
5563,human,hi,2019-10-17 10:34:28.480115,6034,21
2334,human,Hi,2019-10-17 10:46:34.630115,1388,37
6062,human,Hu,2019-10-17 11:15:37.388115,2753,11
6254,human,hi,2019-10-17 11:17:55.332115,4407,107
1834,human,hola,2019-10-17 12:02:44.008115,6022,104
5100,human,Hola Dani!,2019-10-17 12:49:25.511115,4536,50
4851,human,Салом,2019-10-17 13:36:18.194115,5262,83
4862,human,Hi,2019-10-17 13:47:15.550115,4008,65
5499,human,سکس,2019-10-17 13:57:22.682115,2310,18
2335,human,Hi rDany,2019-10-17 14:28:55.040115,1120,37
5330,human,Hola,2019-10-17 15:00:43.064115,2992,102
6063,human,Hu,2019-10-17 15:14:30.305115,2492,11
1067,robot,Hi!!,2019-10-17 15:27:04.106115,5530,23
5190,human,صوربنات,2019-10-17 15:41:10.248115,3304,156
2911,human,hello,2019-10-17 16:04:34.750115,5916,103
1951,human,Hello,2019-10-17 16:08:15.564115,3865,62
1426,human,Hi,2019-10-17 16:28:34.608115,5536,49
5679,human,Hello,2019-10-17 16:35:39.811115,2389,109
5624,human,deal,2019-10-17 16:44:20.518115,171,151
6067,human,Hello,2019-10-17 16:48:49.741115,5542,60
1220,human,Hola,2019-10-17 16:59:46.286115,1414,6
2077,human,Hello,2019-10-17 17:23:50.126115,656,8
5307,human,Hi,2019-10-17 17:38:25.186115,4830,40
1068,human,English,2019-10-17 17:39:07.893115,5613,23
6064,human,Hi,2019-10-17 18:54:20.406115,3091,11
5697,robot,Hi there!!,2019-10-17 19:03:35.755115,3455,61
5326,robot,Hi!!,2019-10-17 19:18:53.845115,511,86
5693,human,Hello,2019-10-17 19:43:09.854115,2596,99
1954,robot,Hi!! Hola!! :D,2019-10-17 19:57:59.858115,4300,85
955,human,Hello,2019-10-17 20:44:39.100115,697,79
2362,human,Hello,2019-10-17 20:54:39.635115,1957,118
2794,human,hi,2019-10-17 21:57:51.116115,3117,9
3149,human,Hello,2019-10-17 22:04:51.559115,4384,92
2896,robot,Hi!!,2019-10-17 23:03:08.593115,1626,1
2762,robot,Hola!!,2019-10-17 23:27:50.455115,2040,12
1229,human,Janish,2019-10-18 00:04:24.937115,599,30
1069,human,Hola,2019-10-18 00:48:59.197115,3625,23
5522,robot,Hi!! How are you? 😄😄,2019-10-18 01:04:17.499115,2088,154
